iter	Passed	Remaining
695	6429	2808
696	6437	2798
697	6447	2789
698	6455	2779
699	6463	2770
700	6471	2760
701	6479	2750
702	6486	2740
703	6492	2729
704	6499	2719
705	6505	2708
706	6511	2698
707	6517	2687
708	6523	2677
709	6529	2667
710	6535	2656
711	6543	2646
712	6551	2637
713	6558	2627
714	6564	2616
715	6569	2605
716	6577	2595
717	6582	2585
718	6588	2574
719	6595	2565
720	6601	2554
721	6610	2545
722	6616	2534
723	6622	2524
724	6628	2514
725	6632	2503
726	6638	2492
727	6644	2482
728	6650	2472
729	6655	2461
730	6661	2451
731	6667	2440
732	6672	2430
733	6678	2420
734	6683	2409
735	6688	2399
736	6694	2388
737	6699	2378
738	6704	2367
739	6710	2357
740	6715	2347
741	6720	2336
742	6726	2326
743	6731	2316
744	6736	2305
745	6742	2295
746	6747	2285
747	6753	2275
748	6759	2265
749	6766	2255
750	6772	2245
751	6778	2235
752	6783	2225
753	6790	2215
754	6796	2205
755	6802	2195
756	6808	2185
757	6813	2175
758	6819	2165
759	6824	2155
760	6830	2145
761	6836	2135
762	6843	2125
763	6849	2115
764	6856	2106
765	6864	2096
766	6872	2087
767	6880	2078
768	6889	2069
769	6896	2060
770	6904	2050
771	6910	2041
772	6921	2032
773	6928	2022
774	6934	2013
775	6940	2003
776	6946	1993
777	6953	1984
778	6960	1974
779	6967	1965
780	6973	1955
781	6979	1945
782	6988	1936
783	6995	1927
784	7001	1917
785	7007	1908
786	7014	1898
787	7021	1889
788	7028	1879
789	7036	1870
790	7042	1860
791	7049	1851
792	7056	1841
793	7064	1832
794	7072	1823
795	7078	1814
796	7087	1805
797	7093	1795
798	7101	1786
799	7108	1777
800	7116	1767
801	7122	1758
802	7128	1748
803	7135	1739
804	7142	1730
805	7149	1720
806	7155	1711
807	7162	1702
808	7170	1692
809	7176	1683
810	7184	1674
811	7190	1664
812	7198	1655
813	7205	1646
814	7211	1636
815	7218	1627
816	7224	1618
817	7232	1609
818	7238	1599
819	7247	1590
820	7254	1581
821	7260	1572
822	7271	1563
823	7282	1555
824	7289	1546
825	7298	1537
826	7305	1528
827	7314	1519
828	7324	1510
829	7335	1502
830	7344	1493
831	7351	1484
832	7370	1477
833	7378	1468
834	7386	1459
835	7393	1450
836	7400	1441
837	7407	1432
838	7416	1423
839	7423	1413
840	7431	1405
841	7438	1395
842	7445	1386
843	7452	1377
844	7457	1367
845	7466	1359
846	7472	1349
847	7481	1341
848	7487	1331
849	7495	1322
850	7501	1313
851	7507	1304
852	7515	1295
853	7522	1285
854	7530	1277
855	7535	1267
856	7543	1258
857	7550	1249
858	7560	1241
859	7569	1232
860	7576	1223
861	7583	1214
862	7592	1205
863	7598	1196
864	7605	1186
865	7616	1178
866	7627	1170
867	7636	1161
868	7647	1152
869	7658	1144
870	7670	1136
871	7681	1127
872	7692	1119
873	7701	1110
874	7711	1101
875	7719	1092
876	7730	1084
877	7740	1075
878	7750	1066
879	7762	1058
880	7773	1049
881	7781	1041
882	7790	1032
883	7796	1023
884	7801	1013
885	7809	1004
886	7816	995
887	7825	986
888	7831	977
889	7839	968
890	7846	959
891	7853	950
892	7862	942
893	7871	933
894	7878	924
895	7884	915
896	7890	906
897	7898	897
898	7905	888
899	7912	879
900	7921	870
901	7927	861
902	7934	852
903	7941	843
904	7946	834
905	7954	825
906	7961	816
907	7969	807
908	7976	798
909	7983	789
910	7991	780
911	7997	771
912	8004	762
913	8010	753
914	8019	744
915	8024	735
916	8030	726
917	8037	717
918	8043	708
919	8050	700
920	8056	691
921	8061	682
922	8068	673
923	8075	664
924	8080	655
925	8087	646
926	8092	637
927	8100	628
928	8106	619
929	8113	610
930	8121	601
931	8127	593
932	8134	584
933	8140	575
934	8146	566
935	8153	557
936	8159	548
937	8165	539
938	8171	530
939	8178	522
940	8185	513
941	8192	504
942	8199	495
943	8205	486
944	8210	477
945	8217	469
946	8223	460
947	8230	451
948	8236	442
949	8241	433
950	8248	424
951	8253	416
952	8259	407
953	8265	398
954	8272	389
955	8278	381
956	8284	372
957	8290	363
958	8296	354
959	8303	345
960	8308	337
961	8315	328
962	8320	319
963	8326	310
964	8332	302
965	8338	293
966	8343	284
967	8349	276
968	8355	267
969	8362	258
970	8367	249
971	8374	241
972	8380	232
973	8385	223
974	8391	215
975	8397	206
976	8403	197
977	8410	189
978	8415	180
979	8421	171
980	8428	163
981	8438	154
982	8451	146
983	8468	137
984	8479	129
985	8490	120
986	8502	111
987	8516	103
988	8531	94
989	8551	86
990	8579	77
991	8609	69
992	8620	60
993	8633	52
994	8645	43
995	8658	34
996	8670	26
997	8682	17
998	8696	8
999	8708	0
